ownerType,ownerId,targetKey,type,floatValue,stringValue
Event,A0,bleed,ApplyStatus,0,
Event,A0,health,Set,50,
Event,A0,inventory,Clear,0,
Event,A1,health,Set,0,
Option,O_A1_0,data,Reset,0,
Event,A2,health,Add,20,
Event,A2,item,Add,0,bag.add:破布
Event,A3,A3,UnlockNode,0,bag.add:行李箱密码
Event,A3,health,Set,0,
Option,O_A3_0,data,Reset,0,
Event,B1,health,Set,0,
Option,O_B1_0,data,Reset,0,
Event,B3,health,Set,0,
Option,O_B3_0,data,Reset,0,
Event,B5,B5,UnlockNode,0,bag.add:求生手册环境篇
Event,B6,health,Set,0,
Option,O_B6_0,data,Reset,0,
Event,B7,B7,UnlockNode,0,bag.add:求生手册救援篇
Event,B8,health,Set,0,
Option,O_B8_0,data,Reset,0,
Option,O_C0_0,item,Add,0,bag.add:浆果
Option,O_C0_1,health,Subtract,10,
Event,C2,health,Set,0,
Option,O_C2_0,data,Reset,0,
Event,C3,C3,UnlockNode,0,bag.add:求生手册医疗篇
Event,C5,health,Set,0,
Option,O_C5_0,data,Reset,0,
Event,C6,health,Subtract,10,
Event,C6,C6,UnlockNode,0,bag.add:信号塔密码
Event,C7,health,Set,0,
Option,O_C7_0,data,Reset,0,
Option,O_C8_0,health,Subtract,50,
Option,O_D0_1,item,Add,0,bag.add:浸湿的破布
Event,D1,health,Set,0,
Option,O_D1_0,data,Reset,0,
Event,D2,bleed,RemoveStatus,0,
Event,D2,health,Add,30,
Event,D2,item,Add,0,bag.add:手术刀
Event,D4,health,Set,0,
Option,O_D4_0,data,Reset,0,
Event,D6,health,Set,0,
Option,O_D6_0,data,Reset,0,
Event,D8,health,Set,0,
Option,O_D8_0,data,Reset,0,
Option,O_E1_0,health,Subtract,20,
Option,O_E1_0,item,Add,0,bag.add:电池
Event,E3,E3,UnlockNode,0,
Event,E4,health,Set,0,
Option,O_E4_0,data,Reset,0,
Event,E6,health,Set,0,
Option,O_E6_0,data,Reset,0,
Option,O_End_0,data,Reset,0,
