id,Text,image
Start,开始游戏,
A0,"你从燃烧的飞机残骸中醒来，身上多处受伤，鲜血喷涌不止。
手上不知何时出现一个笔记本，封皮写着“听从树的指引，在循环往复中寻找出路。”
不知所云。当务之急是处理好身上的伤口。",
A1,"机舱扭曲成废铁，卡在两棵大树之间。你从变形的窗户爬出来，脚踩进松软的落叶里。
外面是热带雨林。
周边并没有可供处理伤口的物品。你靠着残骸坐下来，力气随着血液一点点流走，眼前慢慢暗下去。",
A2,"你用死者的出生日期解开了行李箱的密码锁，用绷带简单包扎了伤口，并拿走了行李箱中的破布。
绷带暂时止住了血液的喷涌，但这维持不了多长时间。
顾不上依然在淌血的伤口，走出残骸，你看见前方有三条岔路。",
A3,"乘客已无气息，你从口袋里搜出一张染血身份证。死者的出生日期吸引了你的视线，但你已经失血过多。临死前，那六个数字仍然在脑中清晰可见。",
B0,"你向西走去，无意中走进了蟒蛇的警戒范围。草丛沙沙作响，一条森蚺盘踞着，吐着信子盯着你。",
B1,"你转身就跑。森蚺从后方袭来，粗壮蛇身缠住了你的腰腹，窒息感瞬间涌来。三秒后，你只能感受到骨头折断的声音。",
B2,"你用凶狠的眼神盯住森蚺，它居然落荒而逃。
灌木丛外，一个和你一样的幸存者低声自言自语着，浑身发颤。他没有注意到你。",
B3,"你刚要靠近，就感觉一颗子弹贯穿了你的腹部。",
B4,"你屏住呼吸，踮着脚离开。没走多远，另一片飞机残骸出现在眼前。
染红的绷带渗出鲜血，你需要迅速找到急救包。",
B5,"你拼命寻找，只摸到一本《求生手册环境篇》。你翻开书页，里面讲述了将布匹浸湿就能有效阻挡毒雾的知识。
没有可以用于止血的东西。
“也许下辈子有用吧。”你瘫倒在地。",
B6,"没有找到急救包，你因失血过多而死。",
B7,"你拼命寻找，只摸到一本《求生手册救援篇》。你翻开书页，里面讲述了野外求生如何使用信号塔呼叫直升机救援的知识。
没有可以用于止血的东西。
“也许下辈子有用吧。”你瘫倒在地。",
B8,"没有找到急救包，你因失血过多而死。",
C0,"你向北方走去，发现一丛色彩鲜艳的浆果。",
C1,"拨开浆果丛，前方一片灰白色的毒雾贴在地面上，像死水一样不动。",
C2,"毒雾涌入口鼻，肺腔不听使唤地收缩。很快你吐出了最后一口气。",
C3,"穿过层层毒雾，你看到地上横躺着一本《求生手册医疗篇》。里面讲述了如何救助失血过多的伤者。
很快你来到了分岔路口，向左走还是向右走？",
C4,"你向左走，一个男人手持棍棒，恶狠狠地盯着你。你很清楚，需要武器才能与之搏斗。",
C5,"你试着跟他说话，刚开口，他大吼一声扑了过来。棍棒打中腹部，你吃痛倒下。接下来的一棒直中面门，你眼前一黑，失去了知觉。",
C6,"你拿出手术刀，他大吼一声扑了过来。棍棒砸在身上，你无暇顾及疼痛，将刀刃刺入他的脖颈。
在他温热的尸体上，你搜出了信号塔的电台密码。",
C7,"天色暗下来，树林里的光一点点收走。你还在走，但腿已经迈不动了。树和树之间全是差不多的样子，没有路，也没有尽头。
你靠着树干坐下来，不想再动了。等死。",
C8,"你向右边走去，一抹鲜艳的颜色引起了你的警觉。
箭毒蛙挡住了你的去路。",
D0,"你向东走，潺潺的流水声吸引了你的注意。
那是一条小溪。
伤口处隐隐刺痛，仍在不断渗出鲜血，你面临着一个选择。",
D1,"你决定在溪水处清洗伤口，但当你解开绷带的时候，动脉血喷涌而出。你知道你做出了错误的选择。",
